Date,Open,High,Low,Close,Trend,Near support,Near resistance,Far support,Far resistance,Shares,Price,Cash,PnL,N_far,N_near
2022-03-08,158.10474693621077,162.1464599255113,155.0983435284274,156.73095703125,0.0,,,,,0.0,,0.0,0.0,,
2022-03-09,160.7527597751045,162.67407578995943,158.69209005727862,162.2161407470703,0.0,,,,,0.0,,0.0,0.0,,
2022-03-10,159.4785333657766,159.66768012775296,155.2775369968631,157.8061065673828,0.0,,,,,0.0,,0.0,0.0,,
2022-03-11,158.21423928914774,158.56266911338648,153.80419742445676,154.0331573486328,0.0,,,,,0.0,,0.0,0.0,,
2022-03-14,150.7679294993337,153.42590311313617,149.42401844879706,149.94166564941406,0.0,,,,,0.0,,0.0,0.0,,
2022-03-15,150.22039313184166,154.86937445338154,149.70274596671578,154.3915252685547,0.0,,,,,0.0,,0.0,0.0,,
2022-03-16,156.34270750760857,159.27941875285043,153.7643755621634,158.8712615966797,1.0,149.70274596671578,154.86937445338154,149.42401844879706,154.86937445338154,0.0,,0.0,0.0,2.0,1.0
2022-03-17,157.89569454147875,160.27493047950333,156.920112261345,159.89663696289062,1.0,153.7643755621634,159.27941875285043,149.70274596671578,159.27941875285043,0.0,,0.0,0.0,2.0,1.0
2022-03-18,159.78711208036492,163.73923376575104,159.040489825293,163.24148559570312,1.0,156.920112261345,160.27493047950333,153.7643755621634,160.27493047950333,0.0,,0.0,0.0,2.0,1.0
2022-03-21,162.7736194349732,165.60084090374724,162.27587120886042,164.6352081298828,1.0,159.040489825293,163.73923376575104,156.920112261345,163.73923376575104,0.0,,0.0,0.0,2.0,1.0
2022-03-22,164.76460183514953,168.65699636081558,164.1673131159355,168.05970764160156,1.0,162.27587120886042,165.60084090374724,159.040489825293,165.60084090374724,0.0,,0.0,0.0,2.0,1.0
2022-03-23,167.23344767844202,171.86249991705532,166.8949673539937,169.44345092773438,1.0,164.1673131159355,168.65699636081558,162.27587120886042,168.65699636081558,0.0,,0.0,0.0,2.0,1.0
2022-03-24,170.28961778555933,173.35574862897565,169.44345492962842,173.28607177734375,1.0,166.8949673539937,171.86249991705532,164.1673131159355,171.86249991705532,0.0,,0.0,0.0,2.0,1.0
2022-03-25,173.096922637853,174.49061155197825,171.97200682069266,173.93313598632812,1.0,169.44345492962842,173.35574862897565,166.8949673539937,173.35574862897565,0.0,,0.0,0.0,2.0,1.0
2022-03-28,171.39462800037205,174.9385930565758,171.22539542072982,174.80918884277344,1.0,171.97200682069266,174.49061155197825,169.44345492962842,174.49061155197825,0.0,,0.0,0.0,2.0,1.0
2022-03-29,175.8942564571803,178.20380014214706,175.54582665083754,178.15403747558594,1.0,171.22539542072982,174.9385930565758,171.22539542072982,174.9385930565758,0.0,,0.0,0.0,2.0,1.0
2022-03-30,177.74589213476534,178.80111592917942,175.90421764748558,176.9694061279297,1.0,175.54582665083754,178.20380014214706,171.22539542072982,178.20380014214706,0.0,,0.0,0.0,2.0,1.0
